Budget,Budget(USD),Box office,Box office(USD)
$3.5 million,3500000.0,$41.9 million,41900000.0
$30 million,30000000.0,$150.8 million,150800000.0
$100–150 million,100000000.0,$527 million,527000000.0
$4.5 million,4500000.0,$255.4 million,255400000.0
$10 million,10000000.0,$79 million,79000000.0
$35 million,35000000.0,$47.8 million,47800000.0
$50 million,50000000.0,$179.8 million,179800000.0
$12–15 million,12000000.0,$160.2 million,160200000.0
$23 million,23000000.0,$321.8 million,321800000.0
$200 million,200000000.0,$1.348 billion,1348000000.0
$15 million,15000000.0,$93.4 million,93400000.0
$50–55 million,50000000.0,$910.8 million,910800000.0
$15 million,15000000.0,$95.9 million,95900000.0
$15 million,15000000.0,$5.1 million,5100000.0
$36 million,36000000.0,$436.2 million,436200000.0
$60 million,60000000.0,$76.1 million,76100000.0
"['₩17.0 billion', '(~', '$15.5 million', ')']",,$263.1 million,263100000.0
$97.6 million,97600000.0,$225.5 million,225500000.0
$159–250 million,159000000.0,$8 million,8000000.0
$14 million,14000000.0,$90.3 million,90300000.0
$55–70 million,55000000.0,$1.074 billion,1074000000.0
$40 million,40000000.0,$218.9 million,218900000.0
$18 million,18000000.0,$2.3 million,2300000.0
$90–100 million,90000000.0,$384.9 million,384900000.0
$90–96 million,90000000.0,$374.6 million,374600000.0
$5 million,5000000.0,$39.5 million,39500000.0
$6 million,6000000.0,$28.4 million,28400000.0
$26 million,26000000.0,$7.4 million,7400000.0
$25 million,25000000.0,"$122,252",122252.0
$2 million,2000000.0,$15.5 million,15500000.0
$5–10 million,5000000.0,$19 million,19000000.0
$5.4 million,5400000.0,"$516,520",516520.0
$35 million,35000000.0,"$115,709",115709.0
$10 million,10000000.0,$1.6 million,1600000.0
,,$49.1 million,49100000.0
$75 million,75000000.0,$1.5 million,1500000.0
,,$15.2 million,15200000.0
$165 million,165000000.0,$401.8 million,401800000.0
$50 million,50000000.0,$39.4 million,39400000.0
$40 million,40000000.0,$33.2 million,33200000.0
$60 million,60000000.0,$39.6 million,39600000.0
$35–39 million,35000000.0,"$417,022",417022.0
$100 million,100000000.0,$76 million,76000000.0
