member_casual,rideable_type,start_station_name,rides,total_rides_at_station,total_rides_at_station_by_bike_type,total_rides_by_mem_cas_bike_type,total_length_of_trip_min,total_length_of_trip_day
casual,electric_bike,Kildare Ave & 63rd St,1,1,1,1048652,23.5,0.02
casual,electric_bike,King Dr & 83rd St,1,1,1,1048652,5.32,0.0
casual,electric_bike,Lamon Ave & Archer Ave,1,1,1,1048652,8.15,0.01
casual,electric_bike,Langley Ave & 79th St,1,1,1,1048652,4.9,0.0
casual,electric_bike,Legler Regional Library,1,1,1,1048652,48.95,0.03
casual,electric_bike,Marquette Ave & 79th St,1,1,1,1048652,24.9,0.02
casual,electric_bike,Martin Luther King Dr & 44th St,1,1,1,1048652,3.75,0.0
casual,electric_bike,Mason Ave & Roosevelt Rd,1,1,1,1048652,35.53,0.03
casual,electric_bike,May St & 63rd St,1,1,1,1048652,22.55,0.02
casual,electric_bike,Menard Ave & Agusta Blvd,1,1,1,1048652,16.28,0.01
casual,electric_bike,Morgan St & 87th St,1,1,1,1048652,2.78,0.0
casual,electric_bike,NewHastings,1,1,1,1048652,12.88,0.01
casual,electric_bike,Normal Ave & 72nd St,1,1,1,1048652,28.68,0.02
casual,electric_bike,Oglesby Ave & 105th St,1,1,1,1048652,4.5,0.0
casual,electric_bike,Parnell Ave & 103rd St,1,1,1,1048652,6.87,0.01
casual,electric_bike,Parnell Ave & 119th St,1,1,1,1048652,8.57,0.01
casual,electric_bike,Pawel Bialowas - Test- PBSC charging station,1,1,1,1048652,2.58,0.0
casual,electric_bike,Penn Elementary School / KIPP Ascend Middle School,1,1,1,1048652,5.07,0.0
casual,electric_bike,Princeton Ave & 43rd St,1,1,1,1048652,18.03,0.01
casual,electric_bike,Pullman - Planet Fitness,1,1,1,1048652,9.78,0.01
casual,electric_bike,Spaulding Ave & Foster Ave,1,1,1,1048652,5.03,0.0
casual,electric_bike,Springfield Ave & 63rd St,1,1,1,1048652,10.45,0.01
casual,electric_bike,Stewart Ave & 123rd St,1,1,1,1048652,16.42,0.01
casual,electric_bike,Wentworth Ave & 79th St,1,1,1,1048652,22.95,0.02
casual,electric_bike,West Chatham Park,1,1,1,1048652,7.68,0.01
casual,electric_bike,Western Ave & 118th St,1,1,1,1048652,18.93,0.01
casual,electric_bike,Wood St & 47th St,1,1,1,1048652,12.48,0.01
casual,electric_bike,Zapata Academy,1,1,1,1048652,18.3,0.01
casual,electric_bike,Central Park Blvd & 5th Ave,60,257,121,1048652,2237.38,1.55
casual,electric_bike,Bosworth Ave & Howard St,155,1025,316,1048652,4050.34,2.81
casual,electric_bike,351,2,2,2,1048652,55.4,0.04
casual,electric_bike,83rd St (Avalon Park) Metra,2,2,2,1048652,348.85,0.24
casual,electric_bike,Ashland Ave & 76th St,2,2,2,1048652,32.6,0.02
casual,electric_bike,Calumet Ave & Garfield Blvd,1,2,2,1048652,5.52,0.0
casual,electric_bike,Cottage Grove & 84th St,1,2,2,1048652,111.15,0.08
casual,electric_bike,Green St & 103rd St,1,2,2,1048652,0.3,0.0
casual,electric_bike,Hamilton Ave & 95th St,2,2,2,1048652,49.47,0.03
casual,electric_bike,Kedvale Ave & 63rd St,2,2,2,1048652,181.13,0.13
casual,electric_bike,Kildare Ave & Washignton Blvd,2,2,2,1048652,32.23,0.02
casual,electric_bike,Kimbark Ave & 67th St,2,2,2,1048652,172.28,0.12
casual,electric_bike,Lafayette Ave & 87th St - NW,2,2,2,1048652,14.38,0.01
casual,electric_bike,Linder Ave & Belmont Ave,1,2,2,1048652,19.53,0.01
casual,electric_bike,Mackinaw Ave & 108th St,1,2,2,1048652,8.95,0.01
casual,electric_bike,Michigan Ave & 110th St,2,2,2,1048652,207.38,0.14
casual,electric_bike,Michigan Ave & 113th St,1,2,2,1048652,11.0,0.01
casual,electric_bike,Newcastle Ave & Wellington Ave,2,2,2,1048652,6.45,0.0
casual,electric_bike,Newland Ave & Diversey Ave,1,2,2,1048652,9.07,0.01
casual,electric_bike,Racine Ave & 76th,2,2,2,1048652,45.68,0.03
casual,electric_bike,Sawyer Ave & 111th St,2,2,2,1048652,31.53,0.02
casual,electric_bike,Throop St & 58th St,2,2,2,1048652,31.4,0.02
casual,electric_bike,Western Ave & 105th St,2,2,2,1048652,55.08,0.04
casual,electric_bike,Western Ave & 106th St - East,2,2,2,1048652,39.43,0.03
casual,electric_bike,Narragansett & Irving Park,140,258,258,1048652,2721.04,1.89
casual,electric_bike,Monticello Ave & Irving Park Rd,383,1538,781,1048652,7581.53,5.26
casual,electric_bike,Western Ave & Lunt Ave,275,1538,815,1048652,5094.75,3.53
casual,electric_bike,Artesian Ave & Hubbard St,576,3586,2120,1048652,10848.89,7.53
casual,electric_bike,Morgan St & 31st St,561,3842,1496,1048652,10902.94,7.56
casual,electric_bike,Racine Ave & Congress Pkwy,528,6146,1682,1048652,8232.9,5.72
casual,electric_bike,Marine Dr & Ainslie St,1440,8706,2711,1048652,38591.15,26.81
casual,electric_bike,532 E 43rd St,2,3,3,1048652,27.82,0.02
casual,electric_bike,63rd & Western Ave - north corner,3,3,3,1048652,36.27,0.03
casual,electric_bike,63rd & Western Ave - south corner,2,3,3,1048652,21.13,0.01
casual,electric_bike,California Ave & Ogden Ave,1,3,3,1048652,5.05,0.0
casual,electric_bike,California Ave & Pershing Rd,3,3,3,1048652,33.1,0.02
casual,electric_bike,Chopin Park,3,3,3,1048652,12.4,0.01
casual,electric_bike,Cicero Ave & Altgeld St,1,3,3,1048652,4.32,0.0
casual,electric_bike,Cicero Ave & Cortland St - midblock,2,3,3,1048652,35.85,0.02
casual,electric_bike,Cicero Ave & North Ave,3,3,3,1048652,19.43,0.01
casual,electric_bike,Cottage Grove & 86th St,2,3,3,1048652,38.33,0.03
casual,electric_bike,Forrestville Ave & 47th St,3,3,3,1048652,152.4,0.11
casual,electric_bike,Halsted St & 102nd St,2,3,3,1048652,20.0,0.01
casual,electric_bike,Harper Ave & 63rd St,1,3,3,1048652,5.87,0.0
casual,electric_bike,Kedvale Ave & Addison St,3,3,3,1048652,29.47,0.02
casual,electric_bike,Kilbourn Ave & Fullerton Ave,3,3,3,1048652,59.88,0.04
casual,electric_bike,Kolin Ave & Archer Ave,2,3,3,1048652,19.87,0.01
casual,electric_bike,McVicker Ave & Grand Ave,2,3,3,1048652,28.77,0.02
casual,electric_bike,Menard Ave & Dakin St - midblock,3,3,3,1048652,47.07,0.03
casual,electric_bike,Newcastle Ave & Belmont Ave,3,3,3,1048652,65.93,0.05
casual,electric_bike,Oleander Ave & Addison St,1,3,3,1048652,7.23,0.01
casual,electric_bike,Rockwell & 111th St,3,3,3,1048652,97.03,0.07
casual,electric_bike,Strohacker Park,3,3,3,1048652,40.07,0.03
casual,electric_bike,Keystone Ave & Fullerton Ave,286,1027,481,1048652,5866.76,4.08
casual,electric_bike,Emerald Ave & 31st St,567,6147,1786,1048652,9756.9,6.78
casual,electric_bike,Walsh Park,1052,9475,2189,1048652,19941.46,13.86
casual,electric_bike,Ashland Ave & 45th St,1,4,4,1048652,28.1,0.02
casual,electric_bike,Austin Ave & Wellington Ave - midblock,1,4,4,1048652,34.78,0.02
casual,electric_bike,Bell Ave & 95th St,4,4,4,1048652,164.3,0.11
casual,electric_bike,Central Ave & North Ave,3,4,4,1048652,45.95,0.03
casual,electric_bike,Champlain Ave & 134th St,4,4,4,1048652,406.05,0.28
casual,electric_bike,Chase Ave & Touhy Ave - NE,2,4,4,1048652,12.33,0.01
casual,electric_bike,Christiana Ave & 55th St,2,4,4,1048652,30.63,0.02
casual,electric_bike,Cottage Grove Ave & 111th St,2,4,4,1048652,47.48,0.03
casual,electric_bike,DIVVY CASSETTE REPAIR MOBILE STATION,2,4,2,1048652,240.5,0.17
casual,electric_bike,Hamlin Ave & Chicago Ave,1,4,4,1048652,22.22,0.01
casual,electric_bike,Kedzie Ave & Archer Ave,2,4,4,1048652,24.82,0.02
casual,electric_bike,Kedzie Ave & Argyle St,2,4,4,1048652,24.95,0.02
casual,electric_bike,Kenneth Ave & 63rd St,4,4,4,1048652,23.35,0.02
casual,electric_bike,Kimbark Ave & 63rd St,2,4,4,1048652,24.8,0.02
casual,electric_bike,McCormick Blvd & Devon Ave,2,4,4,1048652,109.83,0.08
casual,electric_bike,Melvina Ave & Belmont Ave,4,4,4,1048652,28.13,0.02
casual,electric_bike,Menard Ave & Belmont Ave,4,4,4,1048652,50.93,0.04
casual,electric_bike,Racine Ave & 109th Pl,2,4,4,1048652,12.7,0.01
casual,electric_bike,Rutherford Ave & Belmont Ave,4,4,4,1048652,46.63,0.03
casual,electric_bike,Sawyer Ave & Bryn Mawr Ave - SE,3,4,4,1048652,43.57,0.03
casual,electric_bike,St Louis Ave & Berteau Ave,4,4,4,1048652,61.32,0.04
casual,electric_bike,Stony Is Ave & 73rd St,1,4,4,1048652,32.0,0.02
casual,electric_bike,Western Ave & 79th St,1,4,4,1048652,41.63,0.03
casual,electric_bike,Yates Blvd & Exchange Ave,1,4,4,1048652,19.05,0.01
casual,electric_bike,Halsted & 63rd - Kennedy-King Vaccination Site,61,260,81,1048652,1136.77,0.79
casual,electric_bike,Paulina St & 18th St,879,4612,1619,1048652,17222.32,11.96
casual,electric_bike,University Ave & 57th St,937,23556,5172,1048652,14194.59,9.86
casual,electric_bike,Austin Ave & Wrightwood Ave,4,5,5,1048652,44.0,0.03
casual,electric_bike,Austin Blvd & North Ave,3,5,5,1048652,180.9,0.13
casual,electric_bike,Avers Ave & Archer Ave,4,5,5,1048652,145.2,0.1
casual,electric_bike,Cottage Grove Ave & 98th St,1,5,5,1048652,14.17,0.01
casual,electric_bike,Harold Washington Park,2,5,5,1048652,108.15,0.07
casual,electric_bike,Harvey Ave & North Ave,2,5,5,1048652,53.32,0.04
casual,electric_bike,Homewood Ave & Monterey Ave,3,5,5,1048652,87.28,0.06
casual,electric_bike,N Narragansett Ave & Grand Ave,3,5,5,1048652,39.32,0.03
casual,electric_bike,Pulaski Rd & 41st,5,5,5,1048652,114.15,0.08
casual,electric_bike,Pullman - Walmart,1,5,5,1048652,6.88,0.01
casual,electric_bike,Narragansett & Wrightwood,357,517,517,1048652,6411.19,4.44
casual,electric_bike,Ravenswood Ave & Berteau Ave,478,4101,1374,1048652,7899.15,5.49
casual,electric_bike,Calumet Ave & 33rd St,292,5637,1083,1048652,6943.55,4.82
casual,electric_bike,Clark St & Ida B Wells Dr,586,5893,1558,1048652,13253.08,9.2
casual,electric_bike,Clark St & Lincoln Ave,3984,32773,8227,1048652,71235.31,49.45
casual,electric_bike,California Ave & Devon Ave - NW,2,6,6,1048652,52.07,0.04
casual,electric_bike,Central Ave & Corcoran Pl,2,6,6,1048652,31.47,0.02
casual,electric_bike,Kedzie Ave & 58th St,3,6,6,1048652,53.43,0.04
casual,electric_bike,Kostner Ave & North Ave,5,6,6,1048652,66.87,0.05
casual,electric_bike,Lafayette Ave & 95th St,4,6,6,1048652,52.03,0.04
casual,electric_bike,Milwaukee Ave & Waveland Ave,6,6,6,1048652,54.87,0.04
casual,electric_bike,DuSable Museum,111,1030,297,1048652,2848.6,1.98
casual,electric_bike,Lake Shore Dr & Ohio St,764,5894,1211,1048652,23272.46,16.16
casual,electric_bike,Racine Ave & Randolph St,913,5894,2156,1048652,14567.86,10.12
casual,electric_bike,Albany Ave & 63rd St,6,7,7,1048652,132.4,0.09
casual,electric_bike,Damen Ave & 47th St,6,7,7,1048652,71.32,0.05
casual,electric_bike,Kedzie Ave & 64th St - SW,6,7,7,1048652,73.25,0.05
casual,electric_bike,Kimball Ave & Carmen Ave,1,7,7,1048652,6.12,0.0
casual,electric_bike,Latrobe Ave & Lake St,6,7,7,1048652,100.52,0.07
casual,electric_bike,Sawyer Ave & Lawrence Ave,3,7,7,1048652,76.38,0.05
casual,electric_bike,Princeton Ave & 47th St,137,519,222,1048652,2201.96,1.53
casual,electric_bike,Austin Blvd & Lake St,395,775,564,1048652,11092.27,7.69
casual,electric_bike,State St & 29th St,117,1031,273,1048652,3437.46,2.39
casual,electric_bike,California Ave & Touhy Ave - NW,6,8,8,1048652,53.45,0.04
casual,electric_bike,Eli Whitney Public School,8,8,8,1048652,94.12,0.07
casual,electric_bike,Prairie Ave & 47th St - midblock,3,8,8,1048652,51.35,0.04
casual,electric_bike,Pulaski Rd & 51st Rd,4,8,8,1048652,38.53,0.03
casual,electric_bike,Dauphin Ave & 87th St,94,264,116,1048652,2369.52,1.64
casual,electric_bike,Wolcott Ave & Fargo Ave,129,520,237,1048652,1871.28,1.3
casual,electric_bike,St. Louis Ave & Balmoral Ave,176,1032,496,1048652,3682.79,2.56
casual,electric_bike,Clark St & Touhy Ave,211,1288,598,1048652,4356.05,3.03
casual,electric_bike,Sheridan Rd & Irving Park Rd,2198,15880,4571,1048652,33487.74,23.26
casual,electric_bike,Kingsbury St & Kinzie St,3339,36104,11295,1048652,42025.4,29.18
casual,electric_bike,Central Ave & George St,3,9,9,1048652,25.88,0.02
casual,electric_bike,Jonathan Y Scammon Public School,8,9,9,1048652,90.93,0.06
casual,electric_bike,Karlov Ave & Kamerling Ave,5,9,9,1048652,67.13,0.04
casual,electric_bike,Kedzie Ave & 54th St - SE,6,9,9,1048652,47.12,0.03
casual,electric_bike,Robert Fulton Elementary School,9,9,9,1048652,181.58,0.13
casual,electric_bike,Wacker Dr & Washington St,1212,9481,3632,1048652,18814.78,13.06
casual,electric_bike,California Ave & 29th St,6,10,10,1048652,201.55,0.14
casual,electric_bike,Grand Ave & North Ave,10,10,10,1048652,174.35,0.12
casual,electric_bike,Kedzie Ave & 54th St - SW,2,10,10,1048652,18.93,0.01
casual,electric_bike,Laramie Ave & Grand Ave,6,10,10,1048652,39.5,0.03
casual,electric_bike,Menard Ave & Grand Ave,6,10,10,1048652,118.95,0.08
casual,electric_bike,Pulaski & 52nd,9,10,10,1048652,56.65,0.04
casual,electric_bike,Sacramento Ave & Devon Ave,5,10,10,1048652,94.3,0.07
casual,electric_bike,Sacramento Ave & Greenleaf Ave,7,10,10,1048652,73.45,0.05
casual,electric_bike,Western Ave & 92nd Pl,9,10,10,1048652,183.05,0.13
casual,electric_bike,Greenwood Ave & 97th St,132,266,186,1048652,2858.35,1.98
casual,electric_bike,Christiana Ave & Archer Ave,8,11,11,1048652,54.92,0.04
casual,electric_bike,Indiana Ave & 133rd St,10,11,11,1048652,247.68,0.17
casual,electric_bike,Kedvale Ave & Avondale Ave,6,11,11,1048652,132.97,0.09
casual,electric_bike,Mayfield & Roosevelt Rd,4,11,11,1048652,80.75,0.06
casual,electric_bike,N Shore Channel Trail & Argyle Ave,3,11,11,1048652,140.53,0.1
casual,electric_bike,Neva Ave & Grand Ave,6,11,11,1048652,43.82,0.03
casual,electric_bike,Talman Ave & 51st St - midblock,6,11,11,1048652,83.08,0.06
casual,electric_bike,Troy St & Jackson Blvd,8,11,11,1048652,183.77,0.13
casual,electric_bike,Wood St & 103rd St,7,11,11,1048652,94.88,0.07
casual,electric_bike,2112 W Peterson Ave,264,1035,497,1048652,5665.89,3.93
casual,electric_bike,Franklin St & Monroe St,1936,14347,5851,1048652,33172.98,23.01
casual,electric_bike,Clark St & Chicago Ave,1935,14859,4336,1048652,31828.47,22.11
casual,electric_bike,Avers Ave & Irving Park Rd,6,12,12,1048652,101.9,0.07
casual,electric_bike,Komensky Ave & 59th St,6,12,12,1048652,55.98,0.04
casual,electric_bike,Eggleston Ave & 92nd St,171,268,222,1048652,4598.59,3.2
casual,electric_bike,Smith Park,455,2572,1454,1048652,9853.6,6.84
casual,electric_bike,Laflin St & Cullerton St,556,2828,1110,1048652,10690.37,7.42
casual,electric_bike,Western Ave & Leland Ave,1192,7180,2802,1048652,20779.37,14.43
casual,electric_bike,Southport Ave & Waveland Ave,2718,19468,5973,1048652,37736.39,26.19
casual,electric_bike,Hamlin Ave & Grand Ave,12,13,13,1048652,189.47,0.13
casual,electric_bike,Rockwell Ave & Touhy Ave ,9,13,13,1048652,111.8,0.08
casual,electric_bike,Stony Island Ave & 90th St,114,269,184,1048652,1983.08,1.38
casual,electric_bike,Chicago State University,129,781,550,1048652,2916.53,2.03
casual,electric_bike,Exchange Ave & 79th St,58,270,109,1048652,2695.32,1.87
casual,electric_bike,May St & 69th St,137,270,204,1048652,2255.92,1.56
casual,electric_bike,Wabash Ave & 16th St,1105,9486,2602,1048652,28449.25,19.76
casual,electric_bike,LaSalle St & Jackson Blvd,1388,13326,4708,1048652,26734.0,18.56
casual,electric_bike,Mies van der Rohe Way & Chestnut St,2163,18446,5059,1048652,51430.17,35.69
casual,electric_bike,Cicero Ave & Roscoe St,8,15,15,1048652,59.97,0.04
casual,electric_bike,Keystone Ave & Irving Park Rd,9,15,15,1048652,120.28,0.08
casual,electric_bike,Central Ave & Madison St,33,271,73,1048652,1148.32,0.8
casual,electric_bike,Damen Ave & Cullerton St,698,3087,1282,1048652,13710.58,9.51
casual,electric_bike,University Library (NU),368,3343,813,1048652,8145.86,5.66
casual,electric_bike,California Ave & Devon Ave - NE,3,16,16,1048652,106.97,0.07
casual,electric_bike,Laramie Ave & Fullerton Ave,13,16,16,1048652,126.38,0.09
casual,electric_bike,Narragansett Ave & Fullerton Ave,5,16,16,1048652,55.67,0.04
casual,electric_bike,Spaulding Ave & Bryn Mawr Ave,7,16,16,1048652,162.25,0.11
casual,electric_bike,Cottage Grove Ave & 63rd St,191,1040,402,1048652,4849.38,3.36
casual,electric_bike,Christiana Ave & Lawrence Ave,451,1808,957,1048652,8647.41,6.0
casual,electric_bike,Greenview Ave & Jarvis Ave,439,3344,1053,1048652,8791.21,6.11
casual,electric_bike,Halsted St & Wrightwood Ave,2587,21008,5608,1048652,35128.53,24.39
casual,electric_bike,Laramie Ave & Belmont Ave,8,17,17,1048652,141.9,0.1
casual,electric_bike,Walden Pkwy & 103rd St,10,17,17,1048652,150.69,0.1
casual,electric_bike,Cherry Ave & Blackhawk St,298,2065,703,1048652,4240.17,2.94
casual,electric_bike,California Ave & Fletcher St,765,3601,1708,1048652,12743.66,8.85
casual,electric_bike,Kimbark Ave & 53rd St,1136,13841,3494,1048652,20519.85,14.25
casual,electric_bike,Lake Shore Dr & North Blvd,1864,15121,2713,1048652,43217.94,30.01
casual,electric_bike,Clark St & Newport St,4082,23569,7225,1048652,61393.56,42.62
casual,electric_bike,Troy Ave & 27th St,14,18,18,1048652,325.97,0.23
casual,electric_bike,Wilton Ave & Diversey Pkwy - Charging,4,18,7,1048652,35.98,0.03
casual,electric_bike,Canal St & Jackson Blvd,956,8466,3329,1048652,16127.15,11.21
casual,electric_bike,Dearborn St & Van Buren St,1006,8722,2320,1048652,23351.59,16.2
casual,electric_bike,Bissell St & Armitage Ave - Charging,3,19,6,1048652,14.62,0.01
casual,electric_bike,MTV Hubbard St,6,19,19,1048652,111.0,0.08
casual,electric_bike,Steelworkers Park,8,19,19,1048652,186.42,0.13
casual,electric_bike,Archer (Damen) Ave & 37th St,96,531,174,1048652,2007.18,1.4
casual,electric_bike,Stony Island Ave & 64th St,92,531,199,1048652,3140.37,2.18
casual,electric_bike,Delano Ct & Roosevelt Rd,1220,7699,2625,1048652,25176.42,17.5
casual,electric_bike,Francisco Ave & Hollywood Ave,13,20,20,1048652,157.77,0.11
casual,electric_bike,Kostner Ave & Armitage Ave,16,20,20,1048652,224.47,0.16
casual,electric_bike,Milwaukee Ave & Addison St,16,20,20,1048652,190.58,0.13
casual,electric_bike,Newcastle Ave & Belden Ave,9,20,20,1048652,187.1,0.13
casual,electric_bike,Wentworth Ave & 35th St,332,2068,713,1048652,6212.19,4.31
casual,electric_bike,State St & 35th St,379,4372,1126,1048652,7630.06,5.3
casual,electric_bike,Damen Ave & Thomas St (Augusta Blvd),1342,8980,2894,1048652,19179.86,13.32
casual,electric_bike,Lincoln Park Conservatory,1720,14868,2900,1048652,47628.1,33.08
casual,electric_bike,Clark St & Armitage Ave,4108,33044,8698,1048652,73016.59,50.68
casual,electric_bike,Damen Ave & 74th St,4,21,5,1048652,218.6,0.15
casual,electric_bike,Whipple St & Roosevelt Rd,14,21,21,1048652,515.95,0.36
casual,electric_bike,N Paulina St & Lincoln Ave,128,277,277,1048652,1691.3,1.17
casual,electric_bike,State St & 54th St,51,277,96,1048652,1137.43,0.79
casual,electric_bike,Ogden Ave & Race Ave,1616,11541,4221,1048652,24308.83,16.88
casual,electric_bike,Clinton St & Polk St,191,1302,387,1048652,3835.71,2.67
casual,electric_bike,Lake Park Ave & 35th St,526,3095,802,1048652,18627.31,12.95
casual,electric_bike,Michigan Ave & Pearson St,1689,12823,3125,1048652,43065.76,29.89
casual,electric_bike,Kildare & Cermak,21,24,24,1048652,477.28,0.33
casual,electric_bike,Milwaukee Ave & School St,10,24,24,1048652,211.15,0.15
casual,electric_bike,Pulaski Rd & 44th St,5,24,24,1048652,80.93,0.06
casual,electric_bike,Spaulding Ave & North Ave,8,24,24,1048652,143.12,0.1
casual,electric_bike,Washtenaw Ave & Superior St,11,24,24,1048652,178.43,0.12
casual,electric_bike,Peoria St & Jackson Blvd,1744,16920,5000,1048652,28145.46,19.55
casual,electric_bike,Montrose Harbor,2604,19480,3960,1048652,75933.72,52.72
casual,electric_bike,State St & Randolph St,2770,20248,5763,1048652,57716.43,40.06
casual,electric_bike,Lowell Ave & Elston Ave,16,25,25,1048652,224.75,0.16
casual,electric_bike,Sacramento Ave & 25th St,17,25,25,1048652,377.9,0.26
casual,electric_bike,W Oakdale Ave & N Broadway,1253,2329,2329,1048652,19980.52,13.86
casual,electric_bike,Clark St & Columbia Ave,386,2585,1152,1048652,7264.39,5.05
casual,electric_bike,Clinton St & Tilden St,498,3865,1277,1048652,8349.26,5.79
casual,electric_bike,McClurg Ct & Ohio St,714,5145,1600,1048652,18028.81,12.52
casual,electric_bike,State St & Harrison St,1313,8985,2450,1048652,33347.17,23.17
casual,electric_bike,Base - 2132 W Hubbard,16,26,25,1048652,279.85,0.2
casual,electric_bike,Rockwell St & 63rd St,16,26,26,1048652,380.78,0.26
casual,electric_bike,Clark St & Bryn Mawr Ave,1159,7962,2970,1048652,19871.0,13.8
casual,electric_bike,Larrabee St & North Ave,991,8218,2244,1048652,13441.34,9.34
casual,electric_bike,Albany Ave & Douglas Blvd,25,27,27,1048652,1442.57,1.0
casual,electric_bike,Hamlin Ave & Montrose Ave,12,27,27,1048652,166.72,0.11
casual,electric_bike,Lawndale Ave & Diversey Ave,17,27,27,1048652,234.5,0.16
casual,electric_bike,Menard Ave & North Ave,21,27,27,1048652,417.7,0.29
casual,electric_bike,Cottage Grove Ave & 47th St,218,1307,414,1048652,5805.57,4.03
casual,electric_bike,Ashland Ave & Belle Plaine Ave,683,3355,1131,1048652,10677.19,7.41
casual,electric_bike,Southport Ave & Clybourn Ave,1780,11291,3975,1048652,27299.13,18.95
casual,electric_bike,Michigan Ave & 14th St,1763,14363,4235,1048652,45877.42,31.86
casual,electric_bike,Mozart St & Jackson Blvd,10,28,28,1048652,359.3,0.25
casual,electric_bike,Sacramento Blvd & Polk St,21,28,28,1048652,426.22,0.3
casual,electric_bike,Western Blvd & 49th St,19,28,28,1048652,203.4,0.14
casual,electric_bike,Michigan Ave & Ida B Wells Dr,1163,7964,1949,1048652,33897.38,23.53
casual,electric_bike,Lamon Ave & Armitage Ave,257,285,285,1048652,3421.54,2.38
casual,electric_bike,South Shore Dr & 74th St,104,541,208,1048652,3817.5,2.65
casual,electric_bike,Western Ave & Lake St,24,30,30,1048652,425.33,0.29
casual,electric_bike,Damen Ave & Melrose Ave,599,3870,1187,1048652,9026.57,6.26
casual,electric_bike,Albany Ave & Bloomingdale Ave,1075,5406,2618,1048652,21660.04,15.04
casual,electric_bike,Lake Shore Dr & Monroe St,1574,12318,1963,1048652,54327.69,37.73
casual,electric_bike,Buckingham Fountain,2179,12574,2583,1048652,78255.51,54.34
casual,electric_bike,Milwaukee Ave & Wabansia Ave,2166,14110,5014,1048652,34182.68,23.73
casual,electric_bike,Pulaski Rd & Armitage Ave,23,31,31,1048652,399.38,0.28
casual,electric_bike,Sheffield Ave & Wrightwood Ave,2393,17439,4718,1048652,33477.01,23.24
casual,electric_bike,Christiana Ave & Belmont Ave,16,32,32,1048652,189.23,0.13
casual,electric_bike,Keystone Ave & North Ave,19,32,32,1048652,343.2,0.24
casual,electric_bike,Midway Orange Line,22,32,32,1048652,292.05,0.2
casual,electric_bike,Spaulding Ave & Evergreen Ave,17,32,32,1048652,176.63,0.12
casual,electric_bike,Cottage Grove Ave & 83rd St,68,288,127,1048652,1793.92,1.24
casual,electric_bike,Cicero Ave & Lake St,134,289,164,1048652,3096.84,2.15
casual,electric_bike,Central Park Ave & Ogden Ave,231,801,410,1048652,3989.66,2.77
casual,electric_bike,Ashland Ave & Augusta Blvd,1053,8737,2799,1048652,15375.36,10.68
casual,electric_bike,S Michigan Ave & E 118th St,27,34,34,1048652,666.65,0.46
casual,electric_bike,Avers Ave & Belmont Ave,645,2338,1224,1048652,12517.76,8.68
casual,electric_bike,Monticello Ave & Belmont Ave,21,35,35,1048652,352.9,0.25
casual,electric_bike,Canal St & Madison St,1453,15395,4869,1048652,22602.85,15.7
casual,electric_bike,Streeter Dr & Grand Ave,11890,84259,15335,1048652,379459.46,263.46
casual,electric_bike,Clark St & Schiller St,2695,23075,5961,1048652,44146.05,30.66
casual,electric_bike,Homan Ave & 65th St,29,36,36,1048652,626.67,0.44
casual,electric_bike,Kildare Ave & 26th St,28,36,36,1048652,775.18,0.54
casual,electric_bike,Kildare Ave & 47th St,34,36,36,1048652,301.37,0.21
casual,electric_bike,Major Taylor Trail & 115th St,113,292,222,1048652,4251.83,2.95
casual,electric_bike,Halsted St & Archer Ave,248,2084,527,1048652,3630.69,2.52
casual,electric_bike,Lincoln Ave & Winona St,480,2596,1300,1048652,9487.83,6.59
casual,electric_bike,Clinton St & Madison St,2756,27172,8601,1048652,40435.48,28.08
casual,electric_bike,Milwaukee Ave & Haussen Ct,25,37,37,1048652,639.76,0.44
casual,electric_bike,Western Ave & Jarvis Ave,16,37,37,1048652,386.47,0.27
casual,electric_bike,Damen Ave & Pierce Ave,4285,23589,8211,1048652,70449.77,48.89
casual,electric_bike,Albany Ave & 16th St,17,38,38,1048652,1448.14,1.0
casual,electric_bike,Fairfield Ave & 44th St,33,38,38,1048652,597.75,0.42
casual,electric_bike,Western Ave & 104th St,143,294,191,1048652,2963.75,2.06
casual,electric_bike,Halsted St & 18th St (Temp),291,1830,672,1048652,4721.22,3.27
casual,electric_bike,Washtenaw Ave & Madison St,23,39,39,1048652,753.03,0.52
casual,electric_bike,Sedgwick St & Schiller St,808,6183,1739,1048652,13745.36,9.54
casual,electric_bike,Wabash Ave & Roosevelt Rd,2948,23335,6554,1048652,71431.96,49.59
casual,electric_bike,Dearborn Pkwy & Delaware Pl,2950,23847,7061,1048652,49663.07,34.48
casual,electric_bike,Albany Ave & 26th St,65,296,121,1048652,1060.9,0.74
casual,electric_bike,Ewing Ave & Burnham Greenway,112,296,239,1048652,1510.39,1.05
casual,electric_bike,Lake Park Ave & 53rd St,716,6952,1712,1048652,20645.96,14.34
casual,electric_bike,Lincoln Ave & Roscoe St*,215,1065,416,1048652,3102.25,2.15
casual,electric_bike,Racine Ave & 15th St,600,3369,1223,1048652,10674.16,7.41
casual,electric_bike,McClurg Ct & Erie St,2408,20521,6153,1048652,53414.41,37.09
casual,electric_bike,Olive Harvey College,11,42,37,1048652,329.67,0.23
casual,electric_bike,Pulaski Rd & 51st St,179,298,298,1048652,2295.39,1.59
casual,electric_bike,Loomis St & Jackson Blvd,663,7210,1640,1048652,11214.48,7.79
casual,electric_bike,California Ave & 36th St,38,43,43,1048652,892.65,0.62
casual,electric_bike,Clarendon Ave & Leland Ave,993,7467,2458,1048652,19804.47,13.73
